doc_name,out_json,ok,errors
Génère une réponse contenant uniquement le json d'...,3802_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3802_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3804_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3803_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3803_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3802_DORMANT_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3702_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3704_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3704_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3705_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3702_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3705_CUVETTE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2506_SPOT-VMC_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2310__JOINT_MGB_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0009_SDB_MAC_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2111_VENTILATION-NATURELLE_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0009_SDB_MAC_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,3601_JOINT_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0009_SDB_MAC_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2905_DECOR-BOIS_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2503_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2902_BAGUETTES-BOIS_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2902_BAGUETTES-BOIS_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2901_MEUBLE-VASQUE_DEG_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2502_JOINT-PEINTURE_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2502_JOINT-PEINTURE_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2504_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2503_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0009_SDB_MAC_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2309_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2406_BAGUETTE-BOIS_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2405_CARRELAGE-DESALIGNEMENT_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2404_CARRELAGE-DESALIGNEMENT_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2403_CARRELAGE-DESALIGNEMENT_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2402_BAGUETTE-BOIS_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2312__JOINT_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2303_JOINT_MGM_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2303_JOINT_MGM_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2310__JOINT_MGB_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2309_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2308_JOINT_MGP_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2303_JOINT_MGM_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2306_JOINT_MGS_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2304_INTERRUPTEUR-PRISE_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2304_INTERRUPTEUR-PRISE_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2303_JOINT_MGM_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2202_JOINT_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0008_SDB_GEN_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2210_PIEDS_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2209_PIEDS-SIPHON_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,,0,"JSON invalide après pré-fix: SyntaxError: Expected double-quoted property name in JSON at position 4625 (line 1 column 4626)"
Génère une réponse contenant uniquement le json d'...,2207_APPUI_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2206_APPUI_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2205_APPUI_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2204_APPUI_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2203_APPUI_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2202_JOINT_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2201_APPUI_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2116_MITIGEUR-BAIN_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2115_MITIGEUR-BAIN_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2115_MITIGEUR-BAIN_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2114_MITIGEUR-BAIN_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2113_MITIGEUR-BAIN_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2112_MITIGEUR-BAIN_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2111_VENTILATION-NATURELLE_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2110_VENTILATION-NATURELLE_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,,0,"JSON invalide après pré-fix: SyntaxError: Expected double-quoted property name in JSON at position 3906 (line 1 column 3907)"
Génère une réponse contenant uniquement le json d'...,2108_EVACUATION_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2107_EVACUATION_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2106_EVACUATION_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2105_ALIMENTATION-EVACUATION_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2104_ALIMENTATION-EVACUATION_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2103_EVACUATION_MAC_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2102_EVACUATION_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2101_ALIMENTATION-EVACUATION_DET_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2005_SOUS-MEUBLE-VASQUE_GEN_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2004_SOUS-BAIGNOIRE_GEN_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2003_BAIGNOIRE GEN_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2002_BAIGNOIRE_GEN_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,2001_SDB_GEN_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0015_SDB_GEN_20250826_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0014_SDB_GEN_20250826_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0013_SDB_GEN_20250826_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0013_SDB_GEN_20250826_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0012_SDB_GEN_20250826_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0010_SDB_MAC_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,,0,"JSON invalide après pré-fix: SyntaxError: Bad escaped character in JSON at position 5475 (line 1 column 5476)"
Génère une réponse contenant uniquement le json d'...,0008_SDB_GEN_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0007_SDB_GEN_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0007_SDB_GEN_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0006_SDB_GEN_20250819_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0005_WC_GEN_20250818_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0004_SALON-PROTECTION_GEN_20250818_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0003_SALON-PROTECTION_GEN_20250818_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0002_SDB_GEN_20250818_analysis.json,1,""
Génère une réponse contenant uniquement le json d'...,0001_SDB_GEN_20250818_analysis.json,1,""
Sur la base du rapport créé dans la réponse précéd...,IMG_GEN_analysis.json,1,""
